((('240', '13'), ('12',)), 0.5405405405405406)
((('284', '144'), ('201',)), 0.8333333333333334)
((('198', '440'), ('17',)), 0.65625)
((('129', '203'), ('201',)), 0.8421052631578947)
((('9', '17'), ('11',)), 0.7307692307692307)
((('9', '11'), ('17',)), 0.6785714285714286)
((('19', '23'), ('13',)), 0.620253164556962)
((('19', '22'), ('24',)), 0.5423728813559322)
((('22', '24'), ('19',)), 0.6666666666666666)
((('198', '73'), ('11',)), 0.6862745098039216)
((('144', '23'), ('12',)), 0.7619047619047619)
((('144', '12'), ('23',)), 0.5333333333333333)
((('337', '17'), ('13',)), 0.5517241379310345)
((('337', '13'), ('17',)), 0.5161290322580645)
((('19', '458'), ('24',)), 0.7391304347826086)
((('458', '24'), ('19',)), 0.8095238095238095)
((('23', '444'), ('13',)), 0.625)
((('444', '13'), ('23',)), 0.6)
((('198', '215'), ('11',)), 0.7142857142857143)
((('5', '17'), ('11',)), 0.75)
((('5', '11'), ('17',)), 0.625)
((('23', '440'), ('13',)), 0.7073170731707317)
((('395', '73'), ('19',)), 0.7916666666666666)
((('35', '24'), ('19',)), 0.7727272727272727)
((('22', '423'), ('73',)), 0.5)
((('73', '423'), ('22',)), 0.6666666666666666)
((('144', '12'), ('159',)), 0.5333333333333333)
((('159', '12'), ('144',)), 0.8421052631578947)
((('14', '24'), ('11',)), 0.8636363636363636)
((('440', '642'), ('663',)), 0.6)
((('440', '663'), ('642',)), 0.8571428571428571)
((('337', '43'), ('12',)), 0.68)
((('129', '440'), ('198',)), 0.5294117647058824)
((('440', '198'), ('129',)), 0.5625)
((('144', '139'), ('159',)), 0.7692307692307693)
((('139', '159'), ('144',)), 0.5263157894736842)
((('284', '440'), ('17',)), 0.7894736842105263)
((('19', '532'), ('24',)), 0.7727272727272727)
((('532', '24'), ('19',)), 0.8095238095238095)
((('61', '43'), ('17',)), 0.5666666666666667)
((('61', '17'), ('43',)), 0.9444444444444444)
((('294', '296'), ('11',)), 0.53125)
((('296', '11'), ('294',)), 0.6296296296296297)
((('442', '439'), ('21',)), 0.5517241379310345)
((('21', '439'), ('442',)), 0.8)
((('294', '13'), ('17',)), 0.6956521739130435)
((('337', '23'), ('13',)), 0.8888888888888888)
((('337', '13'), ('23',)), 0.5161290322580645)
((('14', '24'), ('17',)), 0.7272727272727273)
((('639', '586'), ('209',)), 0.5064935064935064)
((('639', '209'), ('586',)), 0.7647058823529411)
((('129', '159'), ('24',)), 0.6521739130434783)
((('139', '11'), ('19',)), 0.7105263157894737)
((('442', '439'), ('423',)), 0.5862068965517241)
((('442', '423'), ('439',)), 0.5483870967741935)
((('439', '423'), ('442',)), 0.5666666666666667)
((('161', '43'), ('11',)), 0.6363636363636364)
((('294', '209'), ('11',)), 0.8947368421052632)
((('22', '458'), ('423',)), 0.8823529411764706)
((('129', '12'), ('17',)), 0.5178571428571429)
((('73', '532'), ('24',)), 0.5405405405405406)
((('532', '24'), ('73',)), 0.9523809523809523)
((('11', '24'), ('17',)), 0.7650602409638554)
((('60', '43'), ('17',)), 0.64)
((('60', '17'), ('43',)), 0.9411764705882353)
((('639', '17'), ('24',)), 0.5568181818181818)
((('639', '24'), ('17',)), 0.5697674418604651)
((('144', '337'), ('13',)), 0.6818181818181818)
((('129', '12'), ('11',)), 0.625)
((('129', '198'), ('11',)), 0.5352112676056338)
((('50', '22'), ('12',)), 0.8888888888888888)
((('240', '144'), ('11',)), 0.7083333333333334)
((('201', '284'), ('17',)), 0.6216216216216216)
((('385', '43'), ('17',)), 1.0)
((('61', '19'), ('11',)), 0.8095238095238095)
((('61', '11'), ('19',)), 0.6538461538461539)
((('23', '642'), ('13',)), 0.8095238095238095)
((('642', '13'), ('23',)), 0.53125)
((('19', '225'), ('11',)), 0.84)
((('225', '11'), ('19',)), 0.7)
((('144', '22'), ('12',)), 0.8181818181818182)
((('144', '12'), ('22',)), 0.6)
((('139', '198'), ('19',)), 0.5517241379310345)
((('19', '137'), ('24',)), 0.8461538461538461)
((('137', '24'), ('19',)), 0.7857142857142857)
((('139', '215'), ('22',)), 0.6956521739130435)
((('129', '24'), ('17',)), 0.5398230088495575)
((('73', '193'), ('215',)), 0.5517241379310345)
((('215', '193'), ('73',)), 0.6666666666666666)
((('24', '193'), ('11',)), 0.5151515151515151)
((('240', '73'), ('11',)), 0.7142857142857143)
((('201', '139'), ('12',)), 0.5666666666666667)
((('139', '12'), ('201',)), 0.6538461538461539)
((('43', '209'), ('17',)), 0.696969696969697)
((('294', '198'), ('17',)), 0.8)
((('294', '17'), ('198',)), 0.5263157894736842)
((('192', '43'), ('11',)), 0.6764705882352942)
((('139', '198'), ('17',)), 0.5517241379310345)
((('338', '12'), ('19',)), 0.6)
((('655', '155'), ('639',)), 0.6666666666666666)
((('26', '504'), ('212',)), 0.7258064516129032)
((('504', '212'), ('26',)), 0.703125)
((('139', '338'), ('22',)), 0.7894736842105263)
((('22', '338'), ('139',)), 0.5555555555555556)
((('19', '423'), ('24',)), 0.7333333333333333)
((('423', '24'), ('19',)), 0.6)
((('108', '24'), ('11',)), 0.6521739130434783)
((('108', '11'), ('24',)), 0.5769230769230769)
((('215', '24'), ('23',)), 0.5)
((('73', '24'), ('11',)), 0.5147058823529411)
((('23', '423'), ('13',)), 0.5121951219512195)
((('440', '198'), ('13',)), 0.5)
((('23', '222'), ('13',)), 1.0)
((('222', '13'), ('23',)), 0.6818181818181818)
((('22', '73'), ('11',)), 0.5)
((('284', '144'), ('12',)), 0.9444444444444444)
((('284', '12'), ('144',)), 0.5666666666666667)
((('144', '12'), ('284',)), 0.5666666666666667)
((('215', '193'), ('19',)), 0.875)
((('19', '21'), ('24',)), 0.6666666666666666)
((('21', '24'), ('19',)), 0.7619047619047619)
((('12', '209'), ('201',)), 0.7692307692307693)
((('201', '209'), ('198',)), 0.6041666666666666)
((('198', '209'), ('201',)), 0.6041666666666666)
((('359', '10'), ('13',)), 0.65625)
((('129', '440'), ('423',)), 0.5588235294117647)
((('440', '12'), ('17',)), 0.85)
((('201', '24'), ('19',)), 0.5507246376811594)
((('240', '12'), ('11',)), 0.7)
((('215', '24'), ('17',)), 0.5555555555555556)
((('240', '17'), ('11',)), 0.7931034482758621)
((('296', '17'), ('24',)), 0.53125)
((('296', '24'), ('17',)), 0.8947368421052632)
((('385', '24'), ('17',)), 0.8095238095238095)
((('201', '209'), ('17',)), 0.5625)
((('23', '24'), ('13',)), 0.5277777777777778)
((('13', '24'), ('23',)), 0.5671641791044776)
((('43', '24'), ('19',)), 0.7058823529411765)
((('444', '215'), ('423',)), 0.8888888888888888)
((('423', '215'), ('444',)), 0.5)
((('240', '43'), ('17',)), 0.7307692307692307)
((('240', '17'), ('43',)), 0.6551724137931034)
((('144', '198'), ('11',)), 0.6)
((('506', '212'), ('512',)), 1.0)
((('512', '212'), ('506',)), 0.5)
((('284', '24'), ('17',)), 0.84)
((('22', '17'), ('12',)), 0.6666666666666666)
((('201', '215'), ('13',)), 0.6)
((('159', '215'), ('19',)), 0.8947368421052632)
((('17', '642'), ('11',)), 0.5)
((('642', '11'), ('17',)), 0.7727272727272727)
((('338', '423'), ('444',)), 0.5769230769230769)
((('338', '444'), ('423',)), 0.9375)
((('22', '17'), ('11',)), 0.6666666666666666)
((('23', '43'), ('17',)), 0.5806451612903226)
((('23', '159'), ('423',)), 0.72)
((('159', '423'), ('23',)), 0.6666666666666666)
((('198', '159'), ('19',)), 0.625)
((('19', '137'), ('73',)), 0.5769230769230769)
((('73', '137'), ('19',)), 0.8333333333333334)
((('43', '14'), ('17',)), 0.6)
((('338', '73'), ('532',)), 0.6956521739130435)
((('338', '532'), ('73',)), 0.9411764705882353)
((('43', '24'), ('73',)), 0.5686274509803921)
((('294', '73'), ('11',)), 0.8823529411764706)
((('139', '423'), ('215',)), 0.5714285714285714)
((('139', '215'), ('423',)), 0.6956521739130435)
((('423', '215'), ('139',)), 0.5)
((('201', '255'), ('129',)), 0.7894736842105263)
((('129', '255'), ('201',)), 0.625)
((('23', '193'), ('73',)), 0.6818181818181818)
((('73', '193'), ('23',)), 0.5172413793103449)
((('144', '43'), ('11',)), 0.6451612903225806)
((('129', '13'), ('11',)), 0.6144578313253012)
((('431', '552'), ('423',)), 0.8333333333333334)
((('12', '24'), ('17',)), 0.6415094339622641)
((('17', '423'), ('11',)), 0.5102040816326531)
((('423', '11'), ('17',)), 0.6578947368421053)
((('73', '423'), ('532',)), 0.6666666666666666)
((('532', '423'), ('73',)), 1.0)
((('159', '193'), ('19',)), 0.8695652173913043)
((('440', '13'), ('443',)), 0.5671641791044776)
((('443', '13'), ('440',)), 0.7916666666666666)
((('284', '22'), ('12',)), 0.8888888888888888)
((('284', '12'), ('22',)), 0.5333333333333333)
((('294', '19'), ('24',)), 0.5769230769230769)
((('294', '24'), ('19',)), 0.8333333333333334)
((('166', '198'), ('129',)), 0.9411764705882353)
((('444', '13'), ('443',)), 0.8)
((('22', '23'), ('13',)), 0.5277777777777778)
((('639', '668'), ('198',)), 0.9)
((('137', '24'), ('11',)), 0.5357142857142857)
((('137', '11'), ('24',)), 0.6521739130434783)
((('139', '198'), ('11',)), 0.5172413793103449)
((('129', '43'), ('17',)), 0.6739130434782609)
((('201', '294'), ('11',)), 0.75)
((('129', '43'), ('13',)), 0.5)
((('212', '423'), ('193',)), 0.7619047619047619)
((('212', '193'), ('423',)), 0.8421052631578947)
((('423', '193'), ('212',)), 0.6666666666666666)
((('159', '73'), ('193',)), 0.5925925925925926)
((('159', '193'), ('73',)), 0.6956521739130435)
((('73', '193'), ('159',)), 0.5517241379310345)
((('642', '438'), ('17',)), 0.7619047619047619)
((('43', '209'), ('11',)), 0.696969696969697)
((('23', '73'), ('13',)), 0.6216216216216216)
((('73', '13'), ('23',)), 0.6764705882352942)
((('22', '73'), ('24',)), 0.65)
((('22', '24'), ('73',)), 0.5416666666666666)
((('448', '215'), ('22',)), 0.9411764705882353)
